lambda,final_result,solve_time_ms,decisions,propagations,conflicts,backtracks,learned_clauses,pearson_all,pearson_active
0.0,sat,0.092,43,77,2,2,2,0.16915240658766326,0.8870878983884924
0.25,sat,0.059916,42,78,2,2,2,0.20914709074611704,0.9195249358774196
0.5,sat,0.061375,42,78,2,2,2,0.240662184647886,0.9342316927640786
0.75,sat,0.050833,42,78,2,2,2,0.2656620782525642,0.9424772798394312
1.0,sat,0.047333,42,78,2,2,2,0.2857046471152665,0.9477120446102942
1.25,sat,0.050291,42,78,2,2,2,0.30196894799030305,0.9513162204095279
1.5,sat,0.051125,42,78,2,2,2,0.3153316965637716,0.9539431509055911
1.75,sat,0.053833,42,78,2,2,2,0.32644281616261833,0.9559401330152056
2.0,sat,0.053042,42,78,2,2,2,0.33578630664831255,0.9575081314178746
2.25,sat,0.053375,42,78,2,2,2,0.34372566574414115,0.9587712241414197
2.5,sat,0.045875,42,78,2,2,2,0.35053672579382056,0.9598100388335982
2.75,sat,0.052625,42,78,2,2,2,0.35643112664597454,0.9606791822805797
3.0,sat,0.077125,42,78,2,2,2,0.3615730798337806,0.9614169237299418
10.0,sat,0.055291,42,78,2,2,2,0.4082349192632506,0.9675251001594305
50.0,sat,0.056583,42,78,2,2,2,0.42632828208555956,0.9697993313011615
